SCHOOL NAME,ID,ALT ID,TYPE,GRADE MIN,GRADE MAX,GRADE LEVEL,START TIME,END TIME,ADDRESS NUMBER,STREET,CITY,STATE,ZIP CODE,PHONE,FAX,LATITUDE,LONGITUDE,LOCATION
LOVEJOY DISCOVERY SCHOOL,PS043,PS43,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,161,BENZINGER ST,BUFFALO,NY,14206,7168163260,7168978012,42.8895,-78.8053,"(42.8895, -78.8053)"
INTERNATIONAL SCHOOL,PS045,PS45,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,141,HOYT ST,BUFFALO,NY,14213,7168163300,7168887074,42.9211,-78.8866,"(42.9211, -78.8866)"
PS 48 SCHOOL AT 39,PS048,PS48,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,487,HIGH ST,BUFFALO,NY,14211,7168163240,7168887014,42.8999,-78.8518,"(42.8999, -78.8518)"
COMMUNITY SCHOOL,PS053,PS53,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,329,ROERHER AVE,BUFFALO,NY,14208,7168163330,7168887099,42.9128,-78.8487,"(42.9128, -78.8487)"
DR GEORGE E BLACKMAN SCHOOL OF EXCELLENCE ECC,PS054,PS54,ELEMENTARY,PK,4,PK-4,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,2358,MAIN ST,BUFFALO,NY,14214,7168163340,7168387403,42.9336,-78.8459,"(42.9336, -78.8459)"
DR CHARLES R DREW MAGNET SCHOOL ANNEX,PS059,PS59,ELEMENTARY,PK,2,PK-2,03/01/2018 08:00:00 AM,03/01/2018 02:30:00 PM,50,A ST,BUFFALO,NY,14211,7168164120,7168968105,42.9009,-78.838,"(42.9009, -78.838)"
DR CHARLES R DREW SCIENCE MAGNET SCHOOL,PS059,PS59,ELEMENTARY,3,8,3-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,1,MARTIN LUTHER KING JR PARK,BUFFALO,NY,14211,7168163370,7168978049,42.9059,-78.8434,"(42.9059, -78.8434)"
ARTHUR O EVE SCHOOL OF DISTINCTION,PS061,PS61,ELEMENTARY,PK,4,PK-4,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,453,LEROY AVE,BUFFALO,NY,14215,7168163400,7168387436,42.9324,-78.8285,"(42.9324, -78.8285)"
FREDERICK LAW OLMSTED,PS064,PS64,ELEMENTARY,PK,4,PK-4,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,874,AMHERST ST,BUFFALO,NY,14216,7168163420,7168716021,42.9412,-78.8717,"(42.9412, -78.8717)"
ROOSEVELT ECC,PS065,PS65,ELEMENTARY,PK,4,PK-4,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,249,SKILLEN ST,BUFFALO,NY,14207,7168163430,7168716031,42.96,-78.8959,"(42.96, -78.8959)"
NORTH PARK MIDDLE ACADEMY,PS066,PS66,MIDDLE,5,8,5-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,780,PARKSIDE AVE,BUFFALO,NY,14216,7168163440,7168284925,42.9521,-78.8483,"(42.9521, -78.8483)"
DISCOVERY SCHOOL,PS067,PS67,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,911,ABBOTT RD,BUFFALO,NY,14220,7168164922,7168284925,42.8398,-78.8093,"(42.8398, -78.8093)"
HOUGHTON ACADEMY,PS069,PS69,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,1725,CLINTON ST,BUFFALO,NY,14206,7168164794,7168284797,42.8713,-78.8127,"(42.8713, -78.8127)"
LORRAINE ELEMENTARY,PS072,PS72,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,71,LORRAINE AVE,BUFFALO,NY,14220,7168164809,7168284811,42.8468,-78.8144,"(42.8468, -78.8144)"
HAMLIN PARK CLAUDE AND OIDA CLAPP ACADEMY,PS074,PS74,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,126,DONALDSON RD,BUFFALO,NY,14208,7168163490,7168887109,42.9189,-78.8472,"(42.9189, -78.8472)"
HERMAN BADILLO BILINGUAL ACADEMY,PS076,PS76,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,315,CAROLINA ST,BUFFALO,NY,14201,7168163848,7168513853,42.894,-78.8781,"(42.894, -78.8781)"
PFC WILLIAM J GRABIARZ SCHOOL OF EXCELLENCE,PS079,PS79,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,225,LAWN AVE,BUFFALO,NY,14207,7168164040,7168716115,42.9507,-78.8889,"(42.9507, -78.8889)"
HIGHGATE HEIGHTS,PS080,PS80,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,600,HIGHGATE AVE,BUFFALO,NY,14215,7168164050,7168387475,42.9486,-78.8062,"(42.9486, -78.8062)"
PS 81 SCHOOL,PS081,PS81,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,140,TACOMA AVE,BUFFALO,NY,14216,7168164060,7168716041,42.9521,-78.8674,"(42.9521, -78.8674)"
EARLY CHILDHOOD CENTER,PS082,PS82,ELEMENTARY,PK,4,PK-4,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,230,EASTON AVE,BUFFALO,NY,14215,7168164070,7168978073,42.928,-78.8052,"(42.928, -78.8052)"
HEALTH CARE CENTER FOR CHILDREN AT ECMC,PS084,PS84,K-12,K,12,K-12,03/01/2018 07:50:00 AM,03/01/2018 02:45:00 PM,462,GRIDER ST,BUFFALO,NY,14215,7168164080,7168978081,42.9264,-78.8318,"(42.9264, -78.8318)"
DR LYDIA T WRIGHT SCHOOL OF EXCELLENCE,PS089,PS89,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,106,APPENHEIMER ST,BUFFALO,NY,14214,7168164110,7168978093,42.9233,-78.8356,"(42.9233, -78.8356)"
BUILD ACADEMY,PS091,PS91,ELEMENTARY,PK,8,PK-8,03/01/2018 07:46:00 AM,03/01/2018 02:46:00 PM,340,FOUGERON ST,BUFFALO,NY,14211,7168164140,7168978107,42.9087,-78.8264,"(42.9087, -78.8264)"
SOUTHSIDE ELEMENTARY,PS093,PS93,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 03:55:00 PM,430,SOUTHSIDE PKWY,BUFFALO,NY,14210,7168164818,7168284820,42.8609,-78.8225,"(42.8609, -78.8225)"
WEST HERTEL ACADEMY,PS094,PS94,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,489,HERTEL AVE,BUFFALO,NY,14207,7168164150,7168716111,42.9456,-78.8903,"(42.9456, -78.8903)"
WATERFRONT ELEMENTARY SCHOOL,PS095,PS95,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,95,FOURTH ST,BUFFALO,NY,14202,7168163900,7168513861,42.887,-78.8843,"(42.887, -78.8843)"
HARVEY AUSTIN SCHOOL,PS097,PS97,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,1405,SYCAMORE ST,BUFFALO,NY,14211,7168164460,7168978162,42.9034,-78.8194,"(42.9034, -78.8194)"
STANLEY M MAKOWSKI EARLY CHILDHOOD CENTER,PS099,PS99,ELEMENTARY,PK,4,PK-4,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,1095,JEFFERSON AVE,BUFFALO,NY,14208,7168164180,7168882012,42.9046,-78.8528,"(42.9046, -78.8528)"
ACADEMY SCHOOL AT 4 AND LTEP,PS131,PS131,HIGH,9,12,9-12,03/01/2018 08:15:00 AM,03/01/2018 02:35:00 PM,425,SOUTH PARK AVE,BUFFALO,NY,14204,7168163270,,42.8706,-78.864,"(42.8706, -78.864)"
ACADEMY SCHOOL AT 18A,PS131,PS131,MIDDLE,7,8,7-8,03/01/2018 08:00:00 AM,03/01/2018 02:35:00 PM,179,ALBANY ST,BUFFALO,NY,14213,7168167180,,42.9124,-78.8939,"(42.9124, -78.8939)"
FREDERICK LAW OLMSTED,PS156,PS156,MIDDLE/HIGH,5,12,5-12,03/01/2018 08:00:00 AM,03/01/2018 02:50:00 PM,319,SUFFOLK ST,BUFFALO,NY,14215,7168164330,7168387530,42.9312,-78.8099,"(42.9312, -78.8099)"
BUFFALO ACADEMY FOR VISUAL AND PERFORMING ARTS,PS192,PS192,MIDDLE/HIGH,5,12,5-12,03/01/2018 07:50:00 AM,03/01/2018 02:45:00 PM,450,MASTEN AVE,BUFFALO,NY,14209,7168164220,7168887136,42.9145,-78.8604,"(42.9145, -78.8604)"
CITY HONORS SCHOOL,PS195,PS195,MIDDLE/HIGH,5,12,5-12,03/01/2018 07:55:00 AM,03/01/2018 02:45:00 PM,186,E NORTH ST,BUFFALO,NY,14204,7168164230,7168887145,42.9028,-78.8613,"(42.9028, -78.8613)"
MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT 39,PS197,PS197,MIDDLE,5,8,5-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,489,HIGH ST,BUFFALO,NY,14211,7168163501,7168887014,42.9002,-78.8514,"(42.9002, -78.8514)"
MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL,PS197,PS197,HIGH,9,12,9-12,03/01/2018 08:00:00 AM,03/01/2018 03:10:00 PM,646,E DELAVAN AVE,BUFFALO,NY,14215,7168164500,7168978058,42.923,-78.7949,"(42.923, -78.7949)"
THE INTERNATIONAL PREPARATORY SCHOOL AT 202,PS198,PS198,MIDDLE/HIGH,6,12,6-12,03/01/2018 07:50:00 AM,03/01/2018 03:00:00 PM,110,14TH ST,BUFFALO,NY,14213,7168164300,7168887158,42.9036,-78.8844,"(42.9036, -78.8844)"
LAFAYETTE HIGH SCHOOL,PS204,PS204,MIDDLE/HIGH,6,12,6-12,03/01/2018 08:00:00 AM,03/01/2018 02:57:00 PM,370,LAFAYETTE AVE,BUFFALO,NY,14215,7168164340,7168887096,42.9208,-78.8848,"(42.9208, -78.8848)"
RIVERSIDE INSTITUTE OF TECHNOLOGY,PS205,PS205,HIGH,11,12,11-12,03/01/2018 07:55:00 AM,03/01/2018 03:10:00 PM,51,ONTARIO ST,BUFFALO,NY,14207,7168164360,7168716046,42.9465,-78.9054,"(42.9465, -78.9054)"
SOUTH PARK HIGH SCHOOL,PS206,PS206,HIGH,9,12,9-12,03/01/2018 08:20:00 AM,03/01/2018 03:31:00 PM,150,SOUTHSIDE PKWY,BUFFALO,NY,14220,7168164828,7168284905,42.8529,-78.8243,"(42.8529, -78.8243)"
LAFAYETTE INTERNATIONAL,PS207,PS207,HIGH,9,12,9-12,03/01/2018 08:50:00 AM,03/01/2018 04:05:00 PM,370,LAFAYETTE AVE,BUFFALO,NY,14213,7168164358,7168887096,42.9208,-78.8848,"(42.9208, -78.8848)"
RIVERSIDE ACADEMY,PS208,PS208,HIGH,9,12,9-12,03/01/2018 07:55:00 AM,03/01/2018 03:10:00 PM,51,ONTARIO ST,BUFFALO,NY,14207,7168164530,7168716097,42.9465,-78.9054,"(42.9465, -78.9054)"
LEONARDO DAVINCI HIGH SCHOOL,PS212,PS212,HIGH,9,12,9-12,03/01/2018 08:15:00 AM,03/01/2018 02:50:00 PM,320,PORTER AVE,BUFFALO,NY,14201,7168164380,7168887181,42.9026,-78.8909,"(42.9026, -78.8909)"
BURGARD HIGH SCHOOL,PS301,PS301,HIGH,9,12,9-12,03/01/2018 07:55:00 AM,03/01/2018 03:05:00 PM,400,KENSINGTON AVE,BUFFALO,NY,14214,7168164450,7168387546,42.9295,-78.8359,"(42.9295, -78.8359)"
EMERSON SCHOOL OF HOSPITALITY,PS302,PS302,HIGH,9,12,9-12,03/01/2018 07:55:00 AM,03/01/2018 03:05:00 PM,70,W CHIPPEWA ST,BUFFALO,NY,14202,7168163018,7168513017,42.8904,-78.8759,"(42.8904, -78.8759)"
HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL,PS304,PS304,HIGH,9,12,9-12,03/01/2018 07:55:00 AM,03/01/2018 03:05:00 PM,256,S ELMWOOD AVE,BUFFALO,NY,14201,7168163888,7168513890,42.8917,-78.8788,"(42.8917, -78.8788)"
MCKINLEY HIGH SCHOOL,PS305,PS305,HIGH,9,12,9-12,03/01/2018 08:20:00 AM,03/01/2018 03:25:00 PM,1500,ELMWOOD AVE,BUFFALO,NY,14207,7168164480,7168716086,42.938,-78.8795,"(42.938, -78.8795)"
EAST HIGH SCHOOL,PS307,PS307,HIGH,12,12,12,03/01/2018 07:55:00 AM,03/01/2018 02:50:00 PM,820,NORTHAMPTON ST,BUFFALO,NY,14211,7168163997,7168978130,42.9077,-78.8366,"(42.9077, -78.8366)"
MIDDLE EARLY COLLEGE HIGH SCHOOL,PS335,PS335,HIGH,9,12,9-12,03/01/2018 08:00:00 AM,03/01/2018 02:49:00 PM,2885,MAIN ST,BUFFALO,NY,14214,7168164010,7168387507,42.9442,-78.8321,"(42.9442, -78.8321)"
NEWCOMER ACADEMY AT LAFAYETTE,PS353,PS353,HIGH,8,12,8-12,03/01/2018 08:00:00 AM,03/01/2018 02:57:00 PM,370,LAFAYETTE AVE,BUFFALO,NY,14213,7168164345,7168887096,42.9208,-78.8848,"(42.9208, -78.8848)"
EMERSON ANNEX AT 28,PS355,PS355,MIDDLE/HIGH,9,10,9-10,03/01/2018 08:15:00 AM,03/01/2018 03:10:00 PM,1515,SOUTH PARK AVE,BUFFALO,NY,14220,7168164777,7168284947,42.8566,-78.8288,"(42.8566, -78.8288)"
PATHWAYS ACADEMY AT EAST,PS357,PS357,HIGH,9,12,9-12,03/01/2018 07:55:00 AM,03/01/2018 02:50:00 PM,820,NORTHAMPTON ST,BUFFALO,NY,14211,7168164526,7168978128,42.9077,-78.8366,"(42.9077, -78.8366)"
RESEARCH LABORATORY HIGH SCHOOL FOR BIOINFORMATICS AND LIFE SCIENCES,PS366,PS366,HIGH,9,10,9-10,03/01/2018 07:55:00 AM,03/01/2018 02:49:00 PM,2885,MAIN ST,BUFFALO,NY,14214,7168164250,7168387490,42.9442,-78.8321,"(42.9442, -78.8321)"
VIRTUAL PATHWAYS,,,HIGH,9,12,9-12,03/01/2018 08:00:00 AM,03/01/2018 02:45:00 PM,425,SOUTH PARK AVE,BUFFALO,NY,14204,7168163480,7168167041,42.8706,-78.864,"(42.8706, -78.864)"
